,text,polarity,sentiment
0,rt actranjhavikram happy birthday rajinikanth sir may bhagwan ganesha bless good health long life rajinikanth happ,0.48333333333333334,Positive
1,autotechnobot life,0.0,Neutral
2,rt ajaynsp dont judge lived life experienced things gone make de,0.8,Positive
3,october every november november every december seasons melted others li,0.0,Neutral
4,rt makathyrepublic mans life ruined moment chooses prioritize girl mission purpose,0.0,Neutral
5,man looks like handsome version reallife aladdin,0.5,Positive
6,new life motto must,0.13636363636363635,Positive
7,regular orderly life may violent original work captured narianhearts,-0.1416666666666667,Negative
8,rt sarapeymanpour another life taken majidrezarahnavard executed today rage hate worlds politicians opp,-0.8,Negative
9,life wonderful journey make journey someone elses 世界杯 spjorixbsv,1.0,Positive
10,please let person want first time life,0.25,Positive
11,rt loookatmeimkiad love seeing people madly love bring children world made love like literall,0.5,Positive
12,rt narendramodi birthday greetings shri sharad pawar ji pray long healthy life pawarspeaks,0.225,Positive
13,chzecky themaverickws youre alone gotten destroyed past weeks really made question,-0.024999999999999994,Negative
14,wasted time even qq539962038,-0.2,Negative
15,dont ability live good life lower standard first live good life,0.32045454545454544,Positive
16,rt yasmhneeo_o feel like still live rich auntie life 1 kid,0.2556818181818182,Positive
17,rt matthwatson get best night sleep life,1.0,Positive
19,afluffypinecone meljsaysso aquarius020257 feminemi1y secularprolife apart fact thats never going,0.0,Neutral
20,circle small life private mind clear heart happy,0.16250000000000003,Positive
21,rt dr_austinomondi use bodaboda instantly puts risk catastrophic head injury life threatening fractures insist,0.0,Neutral
22,rt kathybaratta takeyourzoloft im 70 years old didnt watch parents wedding watch way looked,0.1,Positive
23,eliistender10 cant imagine soon dad abusive passed didnt care mom 88,0.0,Neutral
24,rt bjymnabadal birthday greetings great indian actor honored dadasaheb phalke padma vibhushan awards shri rajinikant,0.8,Positive
25,peace mind flower charm feel unprecedented peace like pressing pause button bu,0.6,Positive
26,sporting life amidst taunts tension tackles cup demands composure,0.0,Neutral
27,开云 亚博体育 radioactive inert gaseous isotope radon halflife,0.0,Neutral
28,99 percent life angry jealous infatuated people traumatized dysfunctional,-0.35,Negative
29,rt bts_bighit episode rm still life anderson paak 뮤직비디오 촬영 현장 비하인드 공개 stilllife indigo bts 방탄소년단,0.0,Neutral
30,life indeed sitcom,0.0,Neutral
31,rt antrodemus dark souls finding purpose reason go take long way elden ring broken world still mended w,-0.20000000000000004,Negative
32,sadedposts miss moment time person really makes smile laugh best things ive e,0.45,Positive
33,whos still 4am life,0.0,Neutral
34,rt gasbytweet na na na dem give dis kain ela disgrace walahi go ever gate crash christian event ive b,0.0,Neutral
35,rt st_kamikaze really know got know helped ill damned didnt give praise,-0.15,Negative
36,rt tedhibaat1 tunas obsession4 sumbultouqeerkhan needs2be called wkv innocent girl never takes tunas name even,0.5,Positive
37,chasews potentially one biggest lifechanging insight one might choice attention largely crea,0.10714285714285714,Positive
38,hardest year life lot ways worlds trying damn hardest make grow bitter,-0.1,Negative
39,rt sujatas42845319 almightygodkabir soul achieve salvation worshipping supreme god kabir grace god,0.0,Neutral
40,rt rebeca6169 photographys greatest difficulty lies necessary coincidence sitters revelation photographers realiza,0.5,Positive
41,clairefosterphd elonmusk nomy immune system saved life sound like cultist please get help,0.4,Positive
42,lidlgb islamic republic hanged second innocent iranian protester majidrezarahnavard whose crime wa,0.25,Positive
43,rt f_4199 sweet morning one sweetest persons met whole life may amazing day good morning عم,0.4625,Positive
44,rt ohwhatkelso lifes cloudy lately,-0.3,Negative
45,rt bts_bighit find still life anderson paak new arrivals tidal rm indigo,0.13636363636363635,Positive
47,meeting life difficult sudden street night wind sweet 北京线下,-0.05000000000000001,Negative
48,rt hite_peter1 never mistake knowledge wisdom one helps make living helps make life,0.0,Neutral
49,cheat cheating love cheaters cheater quotes cheatingquotes breakupquotes brokenheart cheatinghusband,0.5,Positive
50,rt un words weapons hate speech online lead cruelty violence real life whenever safely stand u,-0.03333333333333336,Negative
51,rt premnsikka big pharmaceutical companies want changes patent life beyond 20 years make bigger profits increase price le,0.0,Neutral
52,come come thou bleak december wind blow dry leaves tree flash like love thought thro,-0.18888888888888888,Negative
53,rt findtruegod godmorningmonday one get opportunity human life saintrampaljim,0.0,Neutral
54,rt listenwivmonger debut year shortlist lwmawards peaness world full worry hotel fathers ordinary life terrapins_ban,0.04999999999999999,Positive
55,rt srajb life defined opportunities even ones miss hbdsidharthshukla,0.0,Neutral
56,rt nkiruka__ spotlight_abby ruffydfire omoelerinjare jaypeegeneral urchilla01 nkemchor_ vawulence_space hasnt become president,0.0,Neutral
57,rt theholisticpsyc 2 youre controlling inner child doesnt feel safe tend controlling try protect,0.25,Positive
58,rt iittlegloss take slice life hopekookweek22,0.0,Neutral
59,rt niallharbison hardest thing learn blankets nice things door open wants com,0.26666666666666666,Positive
60,rt eytozg96966873 6 şartlıeytyehayır,0.0,Neutral
61,im happy place life right deserve,0.5428571428571429,Positive
62,raising family whilst overcoming injury doesnt stop sugirtha living life fullest read amazing,0.6000000000000001,Positive
63,hello omg love life looks soooo pretty perfect festa look beautiful,0.65,Positive
64,rt foreverwilln_ january would believe fucken life lived year lmao,0.6,Positive
65,personil sat polairud polres banyuasin melakukan pengecekan alat keselamatan berupa pelampunglife jaket diatas spe,0.0,Neutral
66,even following limited positive accounts every 10th post problems life,0.051948051948051945,Positive
67,rt mark2hyuck dont think markhyuck ever run things talk coz remember loa1 went tal,0.0,Neutral
68,rt shadayaknight bumped article w0man decided live man year amp ended commiting su1c1de becaus,0.13636363636363635,Positive
69,rt ogchima1 life without christ holds appeal need ill stay firmly rooted,-0.35,Negative
70,rt skinnylongman3 nigerian celebraties lawyer real life top 10 thread 1 ebuka obi uchendu one great tv pe,0.5,Positive
71,rt drjasplummer spatial biology next life sciences revolution joebeechem showing us scribbles paper first spatia,0.125,Positive
72,monday day week capitalism demands show father friends everybody ar,0.0,Neutral
73,become straight succeed life help mind نمشے w77 w77 w77,0.2,Positive
74,rt sprylyzzyzx would due process taking someones life blasphemy look like thats condemnation process,-0.125,Negative
77,rt redcollectiveuk 2019 9 year old luis walker wrote theresa may asked help access lifechanging cystic fibrosis,0.1,Positive
78,limits ageplay tickling weight gain food based human human combat real life muses generic shonen p,0.05,Positive
79,rt a_j_christ ff rt4jc a_j_christ sign u find baby wrapped swaddling cloths n lying manger,0.0,Neutral
80,rt novel_hadush humanity go humanrightsday doesnt life tigrayans matter dear ho fp unaids msf dec,0.0,Neutral
81,yorkiegirl24 briancharles007 nigel_farage ok claimant recently came gay claimants fa,0.3055555555555556,Positive
82,neon lights lighting night sky people hustling shopping malls delicious smell hot pepper,0.625,Positive
83,harichandchn ha oka 5 months nijanga detach ayyi panikoche panula focus life baagupadthadi anduke decision theesukovali anipisthundi,0.0,Neutral
